Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0301	0.137635	0.079605	0.007043	0.16314	12
0302	9.5e-05	0.010782	0.001608	0.066789	3
0303	0.023747	0.024432	0.002355	0.066763	11
0304	0.070608	0.053474	0.003888	0.082279	10
0305	0.05752	0.02725	0.004096	0.080834	5
0306	0.06262	0.07992	0.004871	0.129842	8
0307	0.144646	0.003021	0.012582	0.05168	26
0308	0.013185	0.045799	0.000186	0.058256	3
0309	0.08013300000000001	0.004242	0.002375	0.024295	6
0310	0.030538999999999997	0.057284	0.010821	0.069476	4
0311	0.000952	0.001359	0.0207	0.056017	1
0312	0.04281800000000001	0.016085	0.002974	0.036051	33
0313	0.072564	0.01797	0.012351	0.094589	13
0314	0.041114	0.008979	0.025049	0.071939	3
0315	0.021933	0.024452	0.004678	0.053265	2
0316	0.001083	0.031997	0.001338	0.061313	1
0317	0.000295	0.022211	0.011686	0.031171	1
0318	0.031575	0.056458	0.002978	0.080171	5
0319	0.016142	0.043468	0.003033	0.068981	3
0320	0.031812	0.042068	0.015453	0.082701	6
0321	0.04737699999999999	0.023365	0.003541	0.061122	18
0322	0.048999	0.082331	0.036408	0.124916	5
0323	0.005378	0.022072	0.004608	0.068443	3
0324	0.036411	0.073049	0.00485	0.080808	12
0325	0.012522	0.029553	0.013576	0.055205	3
0326	0.012884	0.034047	0.019833	0.040832	2
0327	0.010511	0.028242	0.018125	0.045651	1
0328	0.03383800000000001	0.073268	0.003058	0.084936	7
0329	0.0049770000000000005	0.012249	0.001762	0.047524	3
0330	0.001521	0.001468	0.015254	0.026327	1
0331	0.04500799999999999	0.025373	0.00738	0.069755	14
0332	0.00054	0.035016	0.001073	0.054777	2
0333	0.049514	0.124575	0.02898	0.145417	10
0334	0.05004	0.006192	0.054425	0.060075	4
0335	0.036812	0.051281	0.001093	0.100325	5
0336	0.070516	0.005673	0.056972	0.113501	7
0337	0.039305	0.008501	0.00377	0.094581	13
0338	0.042244000000000004	0.009992	0.010264	0.050102	16
0339	0.002137	0.068082	0.002202	0.095736	1
0340	0.0014160000000000002	0.000237	0.015443	0.017391	3
0341	0.018768	0.004156	0.034767	0.023062	2
0342	0.000355	0.033349	0.003871	0.067402	4
0343	0.060797	0.00217	0.029738	0.056284	27
0344	0.0015739999999999999	0.012354	0.004826	0.077687	1
0345	0.036912	0.039009	0.011013	0.063767	14
0346	0.11851099999999999	0.088296	0.007967	0.133017	6
0347	0.059786000000000006	0.043389	0.010247	0.118967	10
0348	0.010724000000000001	0.057261	0.00923	0.062145	9
0349	0.065207	0.040885	0.008579	0.078848	7
0350	0.011607	0.018125	0.011031	0.032287	16
0351	0.041403999999999996	0.025528	0.010466	0.055093	12
0352	0.012771000000000001	0.001803	0.012852	0.032672	6
0353	0.012952	0.049898	0.011422	0.085779	5
0354	0.089532	0.002908	0.020862	0.129458	11
0355	0.08714999999999999	0.048658	0.008978	0.106158	20
0356	0.008556	0.051974	0.008313	0.069191	2
0357	0.055352	0.076184	0.000586	0.098319	9
0358	0.008360000000000001	0.026421	0.000501	0.063021	2
0359	0.02785	0.007391	0.02193	0.057511	6
0360	0.04958099999999999	0.039434	0.008078	0.053497	7
0361	0.018835	0.016507	0.023743	0.057907	2
0362	0.008272	0.015373	0.003397	0.032749	4
0363	0.054265999999999995	0.00014	0.016949	0.035359	8
0364	0.00479	0.014705	0.00477	0.055403	3
0365	0.004718999999999999	0.022565	0.003841	0.057238	2
0366	0.02151	0.049447	0.004784	0.069173	3
0367	0.042851	0.025757	0.008847	0.068913	9
0368	0.000368	0.001715	0.008148	0.033363	2
0369	0.009074	0.014282	0.023012	0.029624	2
0370	0.092947	0.009338	0.027959	0.043223	33
0371	0.012988000000000001	0.06509	0.007875	0.107288	2
0372	0.027568000000000002	0.007319	0.018253	0.072141	6
0373	0.001964	0.002036	0.007371	0.044191	2
0374	0.057706999999999994	0.025571	0.003021	0.110241	12
0375	0.013476	0.045069	0.002576	0.073474	3
0376	0.012456	0.064716	0.000787	0.113609	4
0377	0.014105	0.028753	0.011561	0.038621	6
0378	0.00039900000000000005	0.000191	0.038358	0.039715	2
0379	0.06534799999999999	0.003983	0.005798	0.06962	9
0380	0.015271	0.062975	0.003337	0.082688	2
0381	0.02128	0.067396	0.004047	0.091411	4
0382	0.120493	0.082908	0.026265	0.135735	26
0383	0.007763999999999999	0.033924	0.006545	0.069661	3
0384	0.000445	0.002177	0.02506	0.065396	2
0385	0.005721	0.014502	0.014858	0.100721	3
0386	0.004583	0.002905	0.024896	0.053254	1
0387	0.005365	0.070117	0.021714	0.07719	1
0388	0.018867000000000002	0.026509	0.007897	0.037947	6
0389	0.017322	0.023348	0.004914	0.034433	4
0390	0.0	0.016883	0.004016	0.035897	1
0391	0.008915999999999999	0.014847	0.007949	0.033585	7
0392	0.027918	0.045436	0.011406	0.052801	5
0393	0.007079	0.009478	0.007672	0.077327	3
0394	0.026501	0.001878	0.025888	0.022856	5
0395	0.003086	0.016056	0.003141	0.040593	2
0396	0.020092000000000002	0.020809	0.027929	0.045721	6
0397	0.000133	0.002	0.014417	0.027102	1
0398	0.021682999999999997	0.00589	0.00735	0.079113	5
0399	0.00233	0.017055	0.002805	0.07765	2
0400	4.8e-05	0.004742	0.015607	0.061836	2
0401	0.062245	0.019991	0.046536	0.04391	4
0402	0.031639	0.02531	0.00401	0.120524	8
0403	0.01995	0.008162	0.013718	0.046351	3
0404	0.015418	0.009002	0.01851	0.058589	2
0405	0.003374	0.041624	0.004721	0.074611	1
0406	0.011856999999999998	0.021148	0.007213	0.069649	6
0407	0.099561	0.058113	0.001079	0.078891	22
0408	0.036625	0.017307	0.002286	0.08024	5
0409	0.054855	0.008924	0.010144	0.04049	21
0410	0.038898	0.00554	0.013573	0.0573	10
0411	0.016192	0.050028	0.010926	0.061157	2
0412	0.003319	0.008451	0.025966	0.045054	1
0413	4e-06	0.009632	0.004752	0.023286	2
0414	0.038897	0.021997	0.0015	0.096996	9
